# SECDED(39,32) Layer1 vectors  count=1504  fnv=0x165aeb0d
# op data32 inword39 injmask39 exp_data32 exp_syn exp_cor exp_de
E 00000000 0000000000 0000000000 00000000 00 0 0
E FFFFFFFF 0000000000 0000000000 3F7FFFFFF4 00 0 0
E AAAAAAAA 0000000000 0000000000 6AD5552AD2 00 0 0
E 55555555 0000000000 0000000000 55AAAAD526 00 0 0
E 00000001 0000000000 0000000000 4000000007 00 0 0
E 80000000 0000000000 0000000000 208000000A 00 0 0
E DEADBEEF 0000000000 0000000000 77D5B76E77 00 0 0
E CAFEBABE 0000000000 0000000000 32DFD72BF0 00 0 0
E C477F6E1 0000000000 0000000000 318EFE6E85 00 0 0
E 88FF7575 0000000000 0000000000 221FEED7AE 00 0 0
E 51F524C6 0000000000 0000000000 143EA44CBA 00 0 0
E A1F6A993 0000000000 0000000000 683ED51996 00 0 0
E 6351E153 0000000000 0000000000 186A3C1597 00 0 0
E 9C3BB218 0000000000 0000000000 27077621C3 00 0 0
E 02C8F504 0000000000 0000000000 40591E5023 00 0 0
E D2475475 0000000000 0000000000 74C8EAC7AE 00 0 0
E 46A0380E 0000000000 0000000000 51540700F1 00 0 0
E FE11AF4B 0000000000 0000000000 7F4235745D 00 0 0
E 6CFF48BD 0000000000 0000000000 1B1FE90BE6 00 0 0
E 14FA626C 0000000000 0000000000 451F4C2669 00 0 0
E 288BCD80 0000000000 0000000000 A1179D889 00 0 0
E 9AF204D8 0000000000 0000000000 66DE404DC1 00 0 0
E 70458FEB 0000000000 0000000000 1C88B1FE5C 00 0 0
E 0F9D5D4F 0000000000 0000000000 373AB54F7 00 0 0
E A78D087D 0000000000 0000000000 29F1A18767 00 0 0
E 541E908E 0000000000 0000000000 5583D20878 00 0 0
E 8E880CEE 0000000000 0000000000 63D1014EF1 00 0 0
E E314F8F9 0000000000 0000000000 38E29F8F4D 00 0 0
E DE778D08 0000000000 0000000000 77CEF1D0C1 00 0 0
E D94AEE55 0000000000 0000000000 76295D65A7 00 0 0
E A1AB27A9 0000000000 0000000000 683564FACF 00 0 0
E B3F9F1FD 0000000000 0000000000 6CFF3E1F6C 00 0 0
E 67A5A1BE 0000000000 0000000000 59F4B41BF1 00 0 0
E 131C8BC3 0000000000 0000000000 4E391BC9F 00 0 0
E 9AE72847 0000000000 0000000000 66DCE58436 00 0 0
E 58DF9847 0000000000 0000000000 569BF30436 00 0 0
E 40AB6C0A 0000000000 0000000000 50956D4050 00 0 0
E 6AE2A97B 0000000000 0000000000 1ADC551756 00 0 0
E 0D87E3E9 0000000000 0000000000 330FC3E45 00 0 0
E F26E2D44 0000000000 0000000000 7C4DC5542B 00 0 0
E 199A4AB9 0000000000 0000000000 63349AB4E 00 0 0
E 3993E3A0 0000000000 0000000000 EB27C3A82 00 0 0
E D290A23D 0000000000 0000000000 74D214A365 00 0 0
E F8D6DDF9 0000000000 0000000000 7E9ADBDF46 00 0 0
E 91B10336 0000000000 0000000000 643620B332 00 0 0
E 1714DCC0 0000000000 0000000000 5629B4C83 00 0 0
E BA4280A0 0000000000 0000000000 6E48500A08 00 0 0
E 9B0444CF 0000000000 0000000000 66E0884C7D 00 0 0
E 1DE09B79 0000000000 0000000000 7BC13B7CD 00 0 0
E 11A77502 0000000000 0000000000 44B4EED010 00 0 0
E D109C9E4 0000000000 0000000000 34A1391E2B 00 0 0
E C4190B6C 0000000000 0000000000 3183213669 00 0 0
E FF9AAF8B 0000000000 0000000000 7F7355F8D5 00 0 0
E 25346FE2 0000000000 0000000000 49268DFE10 00 0 0
E C6561AF8 0000000000 0000000000 31CAC3AFC2 00 0 0
E E2FD7622 0000000000 0000000000 78DFAEE218 00 0 0
E 41A0E05C 0000000000 0000000000 10B41C05E8 00 0 0
E 74AB3866 0000000000 0000000000 1D156706BB 00 0 0
E 962B99B2 0000000000 0000000000 65C5731B91 00 0 0
E 48301C9D 0000000000 0000000000 52060349ED 00 0 0
E 6AB8A7DA 0000000000 0000000000 1AD714FDDB 00 0 0
E AA2A5BF7 0000000000 0000000000 6AC54BBFB6 00 0 0
E 3EB59598 0000000000 0000000000 F56B259CA 00 0 0
E 3515A61C 0000000000 0000000000 4DA2B46163 00 0 0
D 708A7740 1C914E7403 0000000000 708A7740 00 0 0
D 2564709A 092C8E895A 0000000000 2564709A 00 0 0
D F85C4748 7E8B88F449 0000000000 F85C4748 00 0 0
D 7FF68007 5FFED080B6 0000000000 7FF68007 00 0 0
D 648324F1 5990644F0F 0000000000 648324F1 00 0 0
D 0C9E8E34 0313D1E322 0000000000 0C9E8E34 00 0 0
D C88E97A6 3291D27A38 0000000000 C88E97A6 00 0 0
D 40863558 1090C6D541 0000000000 40863558 00 0 0
D BFD16782 6FFA2C7898 0000000000 BFD16782 00 0 0
D 4FE4C89D 13FC998966 0000000000 4FE4C89D 00 0 0
D 914CEB0B 24299D305F 0000000000 914CEB0B 00 0 0
D 42727DA8 10CE4FDA4B 0000000000 42727DA8 00 0 0
D 953F4A5C 65A7E9A563 0000000000 953F4A5C 00 0 0
D 96928969 25D251164F 0000000000 96928969 00 0 0
D CC341BC3 730683BC94 0000000000 CC341BC3 00 0 0
